"Controle";"Statut";"Detail"
"Droits administrateur";"OK";"Le script est lancé avec des droits administrateur."
"Pare-feu Windows";"OK";"Tous les profils du pare-feu Windows sont activés."
"Windows Defender";"WARNING";"Antivirus désactivé ; Protection temps reel désactivée ; Protection antispyware désactivée"
"UAC";"OK";"Le contrôle de compte utilisateur est active."
"BitLocker";"WARNING";"BitLocker n'est pas active sur C:. Statut : Off."
"SMBv1";"OK";"SMBv1 est désactivé."
"Bureau a distance";"OK";"Le Bureau a distance est désactivé."
"RDP - NLA";"OK";"L'authentification au niveau du réseau est activee."
"Administrateurs locaux";"INFO";"Membres du groupe Administrateurs : PC-EXAMPLE-01\Administrateur ; PC-EXAMPLE-01\LocalAdmin"
"Mises à jour Windows";"WARNING";"Dernier correctif installe : KB5000001 le 2026-01-10. Verifier si le poste est a jour."
"Derniers correctifs";"INFO";"KB5000001 (2026-01-10) ; KB5000002 (2026-01-08) ; KB5000003 (2026-01-08) ; KB5000004 (2026-01-01) ; KB5000005 (2026-01-01)"
"Redémarrage en attente";"WARNING";"Un redemarrage est nécessaire. Raison(s) : PendingFileRenameOperations."
"Compte invité local";"OK";"Le compte invité local 'Invité' est désactivé."
"Secure Boot";"WARNING";"Secure Boot est désactivé."
"WinRM";"OK";"Le service WinRM n'est pas démarré."
"Execution Policy PowerShell";"WARNING";"Politique d'exécution permissive : Unrestricted."
